X,Y,Z,Temperature_C,Pressure_Pa,V_Mag_ms,Power_W_Input
0.051,0.026,0.011,20.491,255968.250,5.698,68.000
0.048,0.000,0.004,21.077,-5210.773,-0.562,68.000
0.051,0.022,0.011,21.638,244203.656,5.231,68.000
0.002,0.012,0.013,20.876,128611.445,7.733,68.000
0.049,0.017,0.013,21.656,249096.312,9.035,68.000
0.048,0.018,0.012,21.615,231712.844,8.856,68.000
0.043,0.001,0.006,22.035,189145.125,1.718,68.000
0.044,0.000,0.003,20.758,20908.570,1.638,68.000
0.050,0.010,0.014,18.751,235603.969,6.432,68.000
0.051,0.007,0.012,19.649,252434.156,7.814,68.000
0.049,0.008,0.014,19.268,228147.906,6.771,68.000
0.097,0.012,0.012,21.210,186334.625,6.950,68.000
0.050,0.000,0.005,24.003,-28756.078,0.658,68.000
0.051,0.011,0.012,21.413,234266.438,8.450,68.000
0.048,0.009,0.011,21.964,244774.875,8.028,68.000
0.050,0.003,0.011,20.427,262223.469,6.363,68.000
0.044,0.001,0.018,22.205,203696.219,3.305,68.000
0.050,0.022,0.014,19.371,271927.969,9.293,68.000
0.051,0.017,0.011,22.705,223628.156,7.252,68.000
0.046,0.002,0.009,19.287,232628.938,4.774,68.000
0.056,0.001,0.012,21.628,253406.094,3.558,68.000
0.099,0.013,0.011,18.580,202813.125,7.513,68.000
0.048,0.009,0.012,21.933,219842.781,7.187,68.000
0.051,0.026,0.011,20.463,257365.000,5.818,68.000
0.047,0.000,0.004,24.792,1880.203,-0.670,68.000
0.050,0.020,0.012,21.387,252149.188,8.186,68.000
0.048,0.008,0.010,20.958,263143.938,7.496,68.000
0.051,0.018,0.013,21.599,240610.312,8.364,68.000
0.052,0.001,0.012,26.398,183245.938,3.235,68.000
0.098,0.011,0.013,20.286,191959.531,5.766,68.000
0.052,0.014,0.012,21.534,237188.625,7.941,68.000
0.051,0.000,0.005,20.846,-4514.188,0.442,68.000
0.050,0.001,0.015,24.805,212021.469,4.003,68.000
0.052,0.000,0.020,24.111,-9082.938,0.026,68.000
0.049,0.016,0.013,20.981,246319.906,8.862,68.000
0.047,0.001,0.013,22.322,210275.719,5.753,68.000
0.050,0.008,0.014,19.503,228834.406,6.383,68.000
0.048,0.001,0.011,20.144,250443.938,6.108,68.000
0.052,0.006,0.011,19.290,259540.469,7.674,68.000
0.051,0.016,0.014,19.217,267445.594,7.918,68.000
0.049,0.010,0.011,22.037,243038.000,8.416,68.000
0.048,0.002,0.007,20.288,207728.719,2.815,68.000
0.048,0.020,0.013,18.895,277929.188,9.915,68.000
0.047,0.001,0.016,22.191,259772.469,4.558,68.000
0.051,0.021,0.013,21.016,235659.000,8.957,68.000
0.049,0.022,0.014,20.056,274640.750,9.200,68.000
0.050,0.023,0.011,20.212,263984.219,5.871,68.000
0.044,0.001,0.019,21.258,226117.594,3.759,68.000
0.051,0.026,0.010,19.541,272004.312,5.308,68.000
0.046,0.001,0.012,28.530,35861.023,1.057,68.000
