X,Y,Z,Temperature_C,Pressure_Pa,V_Mag_ms,Power_W_Input
0.051,0.026,0.011,21.261,117958.539,5.768,60.000
0.048,0.000,0.004,21.466,16890.945,0.450,60.000
0.051,0.022,0.011,19.795,116156.602,5.917,60.000
0.002,0.012,0.013,20.585,68603.664,5.335,60.000
0.049,0.017,0.013,19.888,138472.000,6.785,60.000
0.048,0.018,0.012,20.156,138472.750,6.194,60.000
0.043,0.001,0.006,22.279,71066.273,0.961,60.000
0.044,0.000,0.003,19.808,41171.758,0.284,60.000
0.050,0.010,0.014,21.725,131572.250,3.709,60.000
0.051,0.007,0.012,22.082,122573.195,5.226,60.000
0.049,0.008,0.014,20.737,123115.789,4.454,60.000
0.097,0.012,0.012,19.978,116089.164,4.699,60.000
0.050,0.000,0.005,24.002,-26753.586,0.184,60.000
0.051,0.011,0.012,20.067,111561.367,4.039,60.000
0.048,0.009,0.011,21.237,133087.188,3.906,60.000
0.050,0.003,0.011,23.185,70821.227,2.675,60.000
0.044,0.001,0.018,20.306,126456.289,0.197,60.000
0.050,0.022,0.014,19.985,127524.742,6.306,60.000
0.051,0.017,0.011,19.564,98840.148,6.244,60.000
0.046,0.002,0.009,23.235,112014.352,1.178,60.000
0.056,0.001,0.012,21.573,108215.508,1.227,60.000
0.099,0.013,0.011,19.694,94092.383,4.923,60.000
0.048,0.009,0.012,21.079,163310.406,5.066,60.000
0.051,0.026,0.011,21.306,119068.992,5.729,60.000
0.047,0.000,0.004,21.864,-3409.570,-0.534,60.000
0.050,0.020,0.012,20.422,134341.531,5.894,60.000
0.048,0.008,0.010,21.912,124179.977,3.005,60.000
0.051,0.018,0.013,20.567,110568.430,6.937,60.000
0.052,0.001,0.012,27.762,79877.352,2.161,60.000
0.098,0.011,0.013,20.504,131710.188,4.209,60.000
0.052,0.014,0.012,21.037,110569.477,4.513,60.000
0.051,0.000,0.005,25.275,-18898.930,-0.027,60.000
0.050,0.001,0.015,26.338,127295.383,1.671,60.000
0.052,0.000,0.020,21.020,19441.266,-1.119,60.000
0.049,0.016,0.013,20.620,139119.531,6.086,60.000
0.047,0.001,0.013,24.371,112747.492,2.654,60.000
0.050,0.008,0.014,20.082,101027.289,4.015,60.000
0.048,0.001,0.011,23.339,89427.680,1.397,60.000
0.052,0.006,0.011,20.303,115033.680,3.977,60.000
0.051,0.016,0.014,21.504,128927.695,6.350,60.000
0.049,0.010,0.011,20.631,140792.750,4.490,60.000
0.048,0.002,0.007,23.421,96743.633,0.825,60.000
0.048,0.020,0.013,20.100,141323.875,6.095,60.000
0.047,0.001,0.016,21.391,162956.312,1.901,60.000
0.051,0.021,0.013,20.465,111096.992,6.075,60.000
0.049,0.022,0.014,20.821,141498.531,5.916,60.000
0.050,0.023,0.011,20.476,131544.344,6.582,60.000
0.044,0.001,0.019,18.835,121678.992,0.452,60.000
0.051,0.026,0.010,21.467,114857.180,5.594,60.000
0.046,0.001,0.012,29.500,9692.312,-0.408,60.000
0.048,0.001,0.001,21.276,61654.789,0.540,60.000
0.049,0.025,0.012,20.260,151675.156,6.229,60.000
0.052,0.001,0.019,21.891,105747.570,2.103,60.000
0.051,0.017,0.011,19.625,95058.102,6.161,60.000
0.049,0.018,0.014,19.572,146189.719,7.172,60.000
0.051,0.025,0.011,20.956,114699.633,5.947,60.000
0.047,0.001,0.007,26.921,24884.406,-0.015,60.000
0.050,0.001,0.004,21.223,106720.852,0.411,60.000
0.044,0.001,0.011,23.985,92784.727,0.219,60.000
0.056,0.000,0.010,26.069,11351.180,1.671,60.000
0.050,0.000,0.021,19.094,34892.070,-1.670,60.000
0.049,0.008,0.015,20.458,107183.758,3.467,60.000
0.050,0.018,0.012,19.424,119775.414,6.206,60.000
0.051,0.009,0.015,20.789,113755.914,3.136,60.000
0.001,0.013,0.012,19.677,65653.102,6.121,60.000
0.049,0.025,0.010,21.738,130745.039,6.085,60.000
0.099,0.012,0.011,19.711,112940.039,5.095,60.000
0.051,0.012,0.014,23.538,136991.844,3.705,60.000
0.054,0.000,0.013,31.462,53643.430,0.672,60.000
0.049,0.024,0.013,20.189,163669.875,5.664,60.000
0.050,0.000,0.011,32.729,2444.227,1.555,60.000
0.054,0.001,0.019,21.534,100983.039,1.447,60.000
0.043,0.001,0.019,19.271,114457.039,0.453,60.000
